"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YKL065W-A",20666.5048075079,1.05555487962486,0.264523514351635,3.99040093736881,6.59616954469847e-05,0.00291753652938586
"YKL050C",5876.95037890633,0.951094386798732,0.248641113329366,3.82516943422326,0.000130682178012588,0.00529849215339499
"YKR077W",1223.42257719222,0.804103675261135,0.205239716871928,3.91787558235088,8.93327913792444e-05,0.0038177696315792
"YKR097W",24233.3541860979,2.12140355522323,0.179898340404873,11.7922352727039,4.28027640970063e-32,6.76818707283911e-29
"YLR042C",1520.99037639242,1.15328890969466,0.316261005741279,3.64663644508272,0.000265695422068024,0.00908391105178516
"YLR099C",4150.83593449868,-1.1615670719394,0.198096699287169,-5.86363667905213,4.52837762597224e-09,5.72839769685488e-07
"YLR110C",43811.512770672,0.916938061047895,0.251153488364134,3.65090712862597,0.000261315725687405,0.00903181401624501
"YLR168C",4311.57729965402,1.34770158274963,0.31533722966291,4.27384227415933,1.92132973662649e-05,0.00105673135514457
"YLR183C",1456.10176187916,1.11726434567233,0.29698651560689,3.76200361618846,0.00016855761016805,0.00642245111031877
"YLR224W",2169.40741499657,-0.770138436181909,0.188335163169086,-4.08919090425234,4.32880482905125e-05,0.00207421898058706
"YNCL0032C",247.70835227184,-1.69318441850731,0.290003999133194,-5.83848644697364,5.26771670153069e-09,6.53300159552581e-07
"YLR285C-A",254.341229200282,1.36256117299226,0.245711316829871,5.54537410230758,2.93326331608701e-08,3.04145745479513e-06
"YLR286C",46190.9336523254,1.55586190295595,0.220667817880532,7.05069691584247,1.7802388249041e-12,4.02143234554229e-10
"YLR304C",36010.9807740557,1.16483482800359,0.174363136473514,6.68051086693162,2.38110723548123e-11,4.70640727013086e-09
"YLR346C",19852.3150800981,-1.14007449097431,0.272188016343795,-4.18855505208687,2.80736212753707e-05,0.00143814749528703
"YLR377C",18164.8984681811,1.38097601592744,0.21108603311036,6.54224249505622,6.06031285533171e-11,1.09518510885637e-08
"YLR395C",11186.0338310573,0.828838812270597,0.218628714606146,3.79107938206438,0.000149994000075403,0.00591489842144441
"YLR413W",1375.51107472395,-1.53983178435882,0.232698648167493,-6.61727859824295,3.65871583796897e-11,6.8062875515158e-09
"YLR437C",729.958925140835,-0.898322279509228,0.201458722571056,-4.45908853210553,8.23089205756438e-06,0.000486545722094343
"YLR460C",1632.06700551102,-0.83857532452423,0.211390516473579,-3.96694865272748,7.27986685451934e-05,0.00317552812791964
"YML054C",21375.5503172011,0.898427691653639,0.225131703269631,3.99067602921134,6.58852276043425e-05,0.00291753652938586
"YMR040W",2287.37010029727,-1.08698488539132,0.204038490614921,-5.32735211927619,9.96548553315084e-08,9.69718399956601e-06
"YMR062C",5464.71084168953,-0.91247713553876,0.2049807306762,-4.4515264070366,8.5262045343598e-06,0.000499335589628016
"YMR081C",7402.2197211114,-1.13792556933902,0.203722267127743,-5.58567104805234,2.32799525936104e-08,2.53871896818251e-06
"YMR199W",2494.71665975287,1.31355205855243,0.261127091734755,5.03031703767718,4.89669464806953e-07,3.97071713449228e-05
"YMR252C",2048.65879840125,-1.39958801749045,0.195403738347127,-7.16254473598728,7.91930119532992e-13,2.08706583585257e-10
"YMR305C",10506.3049049236,1.3319258330497,0.313977358879332,4.24210789530714,2.21430186275753e-05,0.00119977818610528
"YMR307W",12270.9590796777,1.13090040866486,0.304179656001151,3.71786997043806,0.000200909628987215,0.00743130645230488
"YNL332W",992.563130252593,-0.931629057949749,0.194732837018778,-4.78413950216271,1.71721393698958e-06,0.000126295094784408
"YNL327W",5774.38507374216,0.917815280450731,0.235821141123358,3.8919974523006,9.94222892815992e-05,0.00422044281681956
"YNL300W",1754.46695800918,0.914792290177879,0.198682386760809,4.60429485014787,4.13865760556871e-06,0.000271872168699001
"YNL289W",3673.90597117872,1.83139255872852,0.309817375185129,5.91120029221792,3.3962375778438e-09,4.47525055830459e-07
"YNL241C",22930.325678633,-0.763012460075978,0.198199656365692,-3.84971636211198,0.00011825468481628,0.00487414714353114
"YNL117W",28269.2733237834,1.19727902719969,0.183255133706717,6.53339965425376,6.4293276187199e-11,1.12959714412232e-08
"YNL066W",7653.99502074321,1.18636738315317,0.233123406360016,5.08901015851255,3.59937333854597e-07,2.99553110082938e-05
"YNL037C",9566.70123139738,1.03785226102317,0.241602341307,4.29570448452065,1.74139433201029e-05,0.000966168346488165
"YNL024C",633.640021612146,-1.32060865239002,0.280011905305485,-4.71625894245201,2.40220673628901e-06,0.000167684169322777
"YNR001C",34635.8108898815,0.661004577250594,0.179084342936809,3.691023829391,0.000223353209350914,0.00789222932482979
"YNR014W",762.569030794559,-1.73835230508184,0.270691348896136,-6.42189826963712,1.34585357420046e-10,2.24013785705735e-08
"YNR034W-A",45629.0999544756,-1.25124021873469,0.184070906972694,-6.79759903024931,1.0637702595605e-11,2.24278229724006e-09
"YNR050C",5667.16327586012,0.862266949727974,0.229138444144437,3.76308285127591,0.00016783156909416,0.00642245111031877
"YNR072W",198.790387671267,-3.10531533353397,0.292627085777255,-10.6118520275929,2.62493664717695e-26,2.76712071556571e-23
"YNR073C",1740.50929872844,-2.44375890260228,0.197029225968974,-12.4030274726202,2.51633379444026e-35,7.95790562491733e-32
"YOL136C",1099.48769100505,-1.77324197718065,0.233098225422198,-7.60727360308672,2.79938291936804e-14,8.43147474523945e-12
"YOL123W",7161.52650530941,0.648630926492185,0.174620767547133,3.7145119426709,0.000203596255064168,0.00748689717023756
"YOL101C",3894.93437719434,-1.84644152933495,0.232313169630623,-7.94807084019725,1.89438322558355e-15,6.30630205358734e-13
"YOL058W",10203.2190257759,-1.07391542593381,0.192687243062559,-5.57336027473879,2.498720742373e-08,2.67871333822191e-06
"YOL015W",318.709402583091,-1.13877853134604,0.234707137535613,-4.85191265720773,1.22276474870336e-06,9.20712742327236e-05
"YOL002C",3410.31157752879,-1.26608542705909,0.177564769536499,-7.13027381706396,1.00169454353216e-12,2.34656221771886e-10
"YOR065W",15501.2672375865,0.803477579788898,0.212112472704853,3.78797894128041,0.0001518777189238,0.00592979365551255
"YOR095C",5971.34400897266,1.18170715502089,0.28337243871104,4.1701555747484,3.04391771435609e-05,0.00152799837645256
"YOR134W",3969.60269382414,-0.878027084850236,0.199094370317773,-4.41010503435544,1.03320492388503e-05,0.000594092831233892
"YOR136W",9309.99318993223,1.02208347730571,0.242299684141945,4.21826169904103,2.46192979967133e-05,0.00130854672125388
"YOR178C",6818.04808505915,-1.08635051411489,0.188911958349421,-5.75056509713124,8.89456474280309e-09,1.08188696150441e-06
"YOR186W",1721.5637356563,1.1013182106409,0.207831801910352,5.29908416574259,1.16384978840203e-07,1.08255145759453e-05
